State,Year,Rice_Price,Wheat_Price,Corn_Price,Pulses_Price,Millets_Price,Temperature,Rainfall,Population
Andhra Pradesh,2010,4846.82,4297.46,4026.67,2722.97,4771.91,28.8,1086.12,63.9
Andhra Pradesh,2011,2009.42,3138.14,3712.34,4862.15,2466.12,30.0,639.3,34.86
Andhra Pradesh,2012,1274.33,3464.14,2128.35,1096.36,4996.05,33.3,671.85,13.88
Andhra Pradesh,2013,2292.06,2425.46,2857.61,1370.64,2509.09,29.1,1169.38,28.53
Andhra Pradesh,2014,3853.47,1773.76,4736.87,4950.4,3970.66,26.0,825.78,15.01
Andhra Pradesh,2015,2551.95,2510.29,1877.54,1541.15,3457.72,34.8,1209.94,65.32
Andhra Pradesh,2016,4808.32,1690.65,1010.78,4714.0,2517.16,28.4,726.24,31.5
Andhra Pradesh,2017,4707.73,3093.35,3298.02,4384.96,1191.21,30.6,1331.06,10.34
Andhra Pradesh,2018,1765.83,2373.41,1236.36,4605.6,4652.63,38.9,1340.26,71.82
Andhra Pradesh,2019,1083.13,1980.35,3072.67,4726.51,3388.13,20.1,745.76,19.59
Bihar,2010,4182.03,1751.55,1857.73,1841.13,3332.95,36.6,856.61,98.44
Bihar,2011,4514.28,1694.3,3144.44,1106.68,1131.06,31.7,586.97,24.18
Bihar,2012,2858.82,1364.99,2533.89,3744.36,2008.74,27.5,565.43,68.09
Bihar,2013,1665.25,4330.11,2383.42,4727.2,3495.97,23.4,1060.38,53.18
Bihar,2014,1650.31,2420.57,3120.23,1270.93,3659.96,25.1,901.4,17.84
Bihar,2015,3677.16,4838.61,4221.62,2904.34,3772.93,20.7,868.05,11.24
Bihar,2016,2430.02,3325.28,4714.64,3407.78,3089.94,21.6,1337.18,34.08
Bihar,2017,4357.75,3647.75,2710.5,2700.56,2402.57,38.4,990.58,31.99
Bihar,2018,1923.01,4565.48,2001.22,3917.83,2071.04,25.0,1271.57,72.05
Bihar,2019,4846.38,1153.35,4867.99,4934.17,3114.38,29.4,1433.05,95.36
Gujarat,2010,2535.0,3163.89,2754.16,2923.9,3671.74,35.8,693.5,75.43
Gujarat,2011,2090.48,3979.75,3088.05,4902.03,2435.43,25.8,864.45,76.35
Gujarat,2012,1789.97,4382.25,3786.37,3300.86,3157.83,27.5,910.64,25.29
Gujarat,2013,1895.06,3487.64,2239.31,1388.94,1372.87,30.4,1280.18,26.08
Gujarat,2014,2017.8,4073.86,2946.07,4460.97,2112.21,37.8,887.64,94.4
Gujarat,2015,3915.77,4705.94,4796.61,4833.89,2873.46,33.7,747.97,33.99
Gujarat,2016,1055.24,3183.46,2877.26,3503.83,4657.82,21.5,800.14,61.32
Gujarat,2017,1876.46,1621.64,1126.45,4194.36,4607.57,36.9,1409.58,30.34
Gujarat,2018,4548.49,2522.68,2675.26,4528.3,4818.19,22.0,1263.57,69.79
Gujarat,2019,4451.43,1181.84,2948.74,4768.1,4903.18,32.4,1336.22,63.61
Karnataka,2010,4175.18,4111.27,3205.57,2463.77,3045.87,40.0,510.87,52.38
Karnataka,2011,1508.54,3641.52,4843.65,3847.1,3677.43,34.4,651.26,93.93
Karnataka,2012,4986.36,2305.47,1384.92,4593.15,2911.76,30.1,991.44,98.51
Karnataka,2013,1174.14,2502.11,3178.07,2451.6,4338.46,23.2,1399.38,65.91
Karnataka,2014,3205.56,3443.84,3849.27,1646.2,1474.13,38.1,1157.98,75.54
